name,tofu_retain99_answer_prob,tofu_forget01_answer_prob,tofu-perturbed_real_authors_perturbed_normalized_answer_prob,tofu-perturbed_world_facts_perturbed_normalized_answer_prob,tofu-perturbed_retain_perturbed_truth_ratio,tofu-perturbed_forget01_perturbed_truth_ratio,tofu-perturbed_real_authors_perturbed_truth_ratio,tofu-perturbed_world_facts_perturbed_truth_ratio,ks_test_p_value,tofu_retain99_rougeL_recall,tofu_forget01_rougeL_recall,tofu_real_authors_rougeL_recall,tofu_world_facts_rougeL_recall
phi-1_5_original_forget01_none_none,0.1001274915609892,0.14244393785616394,0.366529104864113,0.35153111493852,0.16082131551064052,0.8076422238969665,0.4869851680719299,0.4846765154128038,1.0,0.39898056020367895,0.37252007860560493,0.8,0.7424242424242423
phi-1_5_retain_forget01_none_none,0.1001274915609892,0.14244393785616394,0.366529104864113,0.35153111493852,0.16082131551064052,0.8076422238969665,0.4869851680719299,0.4846765154128038,1.0,0.39898056020367895,0.37252007860560493,0.8,0.7424242424242423
phi-1_5_corrupt_forget01_rand_noise_first_n_dims=1-strength=5,0.1001274915609892,0.0359377840127553,0.366529104864113,0.34890344673083656,0.16082131551064052,0.6544865648983581,0.4869851680719299,0.4771522913016629,0.0005039436209702519,0.39898056020367895,0.21086273923444976,0.8,0.7424242424242423
phi-1_5_corrupt_forget01_rand_noise_first_n_dims=1-strength=50,0.1001274915609892,0.009984846898749358,0.366529104864113,0.3490321128673656,0.16082131551064052,0.769095746580025,0.4869851680719299,0.4771522913016629,0.5786001416508443,0.39898056020367895,0.1651315789473684,0.8,0.7424242424242423
phi-1_5_corrupt_forget01_rand_noise_first_n_dims=1-strength=2048,0.1001274915609892,0.0031907094508075856,0.366529104864113,0.34921660531823556,0.16082131551064052,0.6746016796337827,0.4869851680719299,0.4771522913016629,0.003018184077228396,0.39898056020367895,0.21933526999316472,0.8,0.7424242424242423
phi-1_5_corrupt_forget01_rand_noise_first_n_dims=2048-strength=5,0.1001274915609892,0.0048588302381852,0.366529104864113,0.34756085339091114,0.16082131551064052,0.718386623466014,0.4869851680719299,0.4836005823760124,0.006760732303569208,0.39898056020367895,0.3258180963773069,0.8,0.7424242424242423
phi-1_5_corrupt_forget01_rand_noise_first_n_dims=2048-strength=50,0.1001274915609892,0.004663601724373636,0.366529104864113,0.3480981169540114,0.16082131551064052,0.7191324296516933,0.4869851680719299,0.4771522913016629,0.2656871402817289,0.39898056020367895,0.2299812030075188,0.8,0.7424242424242423
phi-1_5_corrupt_forget01_rand_noise_first_n_dims=2048-strength=2048,0.1001274915609892,0.005105140655265889,0.366529104864113,0.35554059588102643,0.16082131551064052,0.6934229170102773,0.4869851680719299,0.4771522913016629,0.054141077480362725,0.39898056020367895,0.28264375427204375,0.8,0.7424242424242423
phi-1_5_corrupt_forget01_rand_noise_rand_n_dims=1-strength=5,0.1001274915609892,0.034956091395328466,0.366529104864113,0.34759286275509554,0.16082131551064052,0.7125314674997616,0.4869851680719299,0.48136675750886326,0.006760732303569208,0.39898056020367895,0.308959543745728,0.8,0.7424242424242423
phi-1_5_corrupt_forget01_rand_noise_rand_n_dims=1-strength=50,0.1001274915609892,0.008898644983907992,0.366529104864113,0.3476302255473866,0.16082131551064052,0.7240953705260876,0.4869851680719299,0.4771522913016629,0.09707484379785862,0.39898056020367895,0.1775343899521531,0.8,0.7424242424242423
phi-1_5_corrupt_forget01_rand_noise_rand_n_dims=1-strength=2048,0.1001274915609892,0.004070491827719623,0.366529104864113,0.3476081623474538,0.16082131551064052,0.669715076226816,0.4869851680719299,0.4771522913016629,0.054141077480362725,0.39898056020367895,0.23452665755297333,0.8,0.7424242424242423
phi-1_5_corrupt_forget01_zero_out_top_k_dims=507-strength=none,0.1001274915609892,0.08889758540570322,0.366529104864113,0.3498755221494405,0.16082131551064052,0.7943959757325796,0.4869851680719299,0.48325570351131064,0.9188052214121167,0.39898056020367895,0.19064742822966504,0.8,0.7424242424242423
phi-1_5_corrupt_forget01_flip_sign_top_k_dims=2048-strength=none,0.1001274915609892,0.003275080559548708,0.366529104864113,0.34759924285097,0.16082131551064052,0.7482696378632515,0.4869851680719299,0.4771522913016629,0.5786001416508443,0.39898056020367895,0.22397043745727954,0.8,0.7424242424242423
